name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Youssef Zalal,Featherweight Division17-5-1 (W-L-D),17-5-1,https://www.ufc.com/athlete/youssef-zalal,,,,,,,,2025-07-14T01:39:30.842314
Dan Ige,Featherweight Division19-9-0 (W-L-D),19-9-0,https://www.ufc.com/athlete/dan-ige,,,,,,,,2025-07-14T01:39:31.942564
David Onama,Featherweight Division14-2-0 (W-L-D),14-2-0,https://www.ufc.com/athlete/david-onama,,,,,,,,2025-07-14T01:39:33.019647
Calvin Kattar,Featherweight Division23-10-0 (W-L-D),23-10-0,https://www.ufc.com/athlete/calvin-kattar,,,,,,,,2025-07-14T01:39:34.112305
Giga Chikadze,Featherweight Division15-5-0 (W-L-D),15-5-0,https://www.ufc.com/athlete/giga-chikadze,,,,,,,,2025-07-14T01:39:35.185747
Islam Makhachev,Lightweight Division27-1-0 (W-L-D),27-1-0,https://www.ufc.com/athlete/islam-makhachev,,,,,,,,2025-07-14T01:39:36.287872
Arman Tsarukyan,Lightweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/arman-tsarukyan,,,,,,,,2025-07-14T01:39:37.355506
Charles Oliveira,Lightweight Division35-11-0 (W-L-D),35-11-0,https://www.ufc.com/athlete/charles-oliveira,,,,,,,,2025-07-14T01:39:38.437691
Justin Gaethje,Lightweight Division27-5-0 (W-L-D),27-5-0,https://www.ufc.com/athlete/justin-gaethje,,,,,,,,2025-07-14T01:39:39.674915
Max Holloway,Featherweight Division26-8-0 (W-L-D),26-8-0,https://www.ufc.com/athlete/max-holloway,,,,,,,,2025-07-14T01:39:40.981824
Dustin Poirier,Lightweight Division30-9-0 (W-L-D),30-9-0,https://www.ufc.com/athlete/dustin-poirier,,,,,,,,2025-07-14T01:39:42.066552
Dan Hooker,Lightweight Division24-12-0 (W-L-D),24-12-0,https://www.ufc.com/athlete/dan-hooker,,,,,,,,2025-07-14T01:39:43.140285
Mateusz Gamrot,Lightweight Division25-3-0 (W-L-D),25-3-0,https://www.ufc.com/athlete/mateusz-gamrot,,,,,,,,2025-07-14T01:39:44.207141
Beneil Dariush,Lightweight Division23-6-1 (W-L-D),23-6-1,https://www.ufc.com/athlete/beneil-dariush,,,,,,,,2025-07-14T01:39:45.275209
Paddy Pimblett,Lightweight Division23-3-0 (W-L-D),23-3-0,https://www.ufc.com/athlete/paddy-pimblett,,,,,,,,2025-07-14T01:39:46.347934
Rafael Fiziev,Lightweight Division13-4-0 (W-L-D),13-4-0,https://www.ufc.com/athlete/rafael-fiziev,,,,,,,,2025-07-14T01:39:47.411870
Renato Moicano,Lightweight Division20-7-1 (W-L-D),20-7-1,https://www.ufc.com/athlete/renato-moicano,,,,,,,,2025-07-14T01:39:48.481043
Michael Chandler,Lightweight Division23-10-0 (W-L-D),23-10-0,https://www.ufc.com/athlete/michael-chandler,,,,,,,,2025-07-14T01:39:49.548131
Benoît Saint Denis,Lightweight Division14-3-0 (W-L-D),14-3-0,https://www.ufc.com/athlete/benoit-saint-denis,,,,,,,,2025-07-14T01:39:50.637749
Grant Dawson,Lightweight Division23-2-1 (W-L-D),23-2-1,https://www.ufc.com/athlete/grant-dawson,,,,,,,,2025-07-14T01:39:51.700362
Belal Muhammad,Welterweight Division24-4-0 (W-L-D),24-4-0,https://www.ufc.com/athlete/belal-muhammad,,,,,,,,2025-07-14T01:39:52.763402
Sean Brady,Welterweight Division18-1-0 (W-L-D),18-1-0,https://www.ufc.com/athlete/sean-brady,,,,,,,,2025-07-14T01:39:53.830342
Shavkat Rakhmonov,Welterweight Division19-0-0 (W-L-D),19-0-0,https://www.ufc.com/athlete/shavkat-rakhmonov,,,,,,,,2025-07-14T01:39:54.892766
Leon Edwards,Welterweight Division22-5-0 (W-L-D),22-5-0,https://www.ufc.com/athlete/leon-edwards,,,,,,,,2025-07-14T01:39:55.957444
Kamaru Usman,Welterweight Division21-4-0 (W-L-D),21-4-0,https://www.ufc.com/athlete/kamaru-usman,,,,,,,,2025-07-14T01:39:57.037412
Ian Machado Garry,Welterweight Division16-1-0 (W-L-D),16-1-0,https://www.ufc.com/athlete/ian-garry,,,,,,,,2025-07-14T01:39:58.124351
Michael Morales,Welterweight Division18-0-0 (W-L-D),18-0-0,https://www.ufc.com/athlete/michael-morales,,,,,,,,2025-07-14T01:39:59.200291
