rank,name,division,url,scraped_at,is_champion
7,Ian Machado Garry,Welterweight,https://www.ufc.com/athlete/ian-garry,2025-07-23T14:40:12.058940,False
8,Michael Morales,Welterweight,https://www.ufc.com/athlete/michael-morales,2025-07-23T14:40:12.058958,False
9,Joaquin Buckley,Welterweight,https://www.ufc.com/athlete/joaquin-buckley,2025-07-23T14:40:12.058975,False
10,Colby Covington,Welterweight,https://www.ufc.com/athlete/colby-covington,2025-07-23T14:40:12.058994,False
11,Geoff Neal,Welterweight,https://www.ufc.com/athlete/geoff-neal,2025-07-23T14:40:12.059013,False
12,Gilbert Burns,Welterweight,https://www.ufc.com/athlete/gilbert-burns,2025-07-23T14:40:12.059032,False
13,Carlos Prates,Welterweight,https://www.ufc.com/athlete/carlos-prates,2025-07-23T14:40:12.059050,False
14,Gabriel Bonfim,Welterweight,https://www.ufc.com/athlete/gabriel-bonfim,2025-07-23T14:40:12.059068,False
15,Daniel Rodriguez,Welterweight,https://www.ufc.com/athlete/daniel-rodriguez,2025-07-23T14:40:12.059086,False
16,Michael Page,Welterweight,https://www.ufc.com/athlete/michael-page,2025-07-23T14:40:12.059106,False
1,Dricus Du Plessis,Middleweight,https://www.ufc.com/athlete/dricus-du-plessis,2025-07-23T14:40:12.060010,True
2,Nassourdine Imavov,Middleweight,https://www.ufc.com/athlete/nassourdine-imavov,2025-07-23T14:40:12.060046,False
3,Sean Strickland,Middleweight,https://www.ufc.com/athlete/sean-strickland,2025-07-23T14:40:12.060068,False
4,Khamzat Chimaev,Middleweight,https://www.ufc.com/athlete/khamzat-chimaev,2025-07-23T14:40:12.060088,False
5,Israel Adesanya,Middleweight,https://www.ufc.com/athlete/israel-adesanya,2025-07-23T14:40:12.060106,False
6,Robert Whittaker,Middleweight,https://www.ufc.com/athlete/robert-whittaker,2025-07-23T14:40:12.060125,False
7,Caio Borralho,Middleweight,https://www.ufc.com/athlete/caio-borralho,2025-07-23T14:40:12.060145,False
8,Jared Cannonier,Middleweight,https://www.ufc.com/athlete/jared-cannonier,2025-07-23T14:40:12.060162,False
9,Roman Dolidze,Middleweight,https://www.ufc.com/athlete/roman-dolidze,2025-07-23T14:40:12.060181,False
10,Anthony Hernandez,Middleweight,https://www.ufc.com/athlete/anthony-hernandez,2025-07-23T14:40:12.060198,False
11,Brendan Allen,Middleweight,https://www.ufc.com/athlete/brendan-allen,2025-07-23T14:40:12.060216,False
