rank,name,division,url,scraped_at,is_champion
1,Zhang Weili,Women's Strawweight,https://www.ufc.com/athlete/zhang-weili,2025-07-23T14:28:55.483941,True
2,Virna Jandiroba,Women's Strawweight,https://www.ufc.com/athlete/virna-jandiroba,2025-07-23T14:28:55.483994,False
3,Tatiana Suarez,Women's Strawweight,https://www.ufc.com/athlete/tatiana-suarez,2025-07-23T14:28:55.484019,False
4,Yan Xiaonan,Women's Strawweight,https://www.ufc.com/athlete/xiaonan-yan,2025-07-23T14:28:55.484041,False
5,Amanda Lemos,Women's Strawweight,https://www.ufc.com/athlete/amanda-lemos,2025-07-23T14:28:55.484064,False
6,Jéssica Andrade,Women's Strawweight,https://www.ufc.com/athlete/jessica-andrade,2025-07-23T14:28:55.484086,False
7,Mackenzie Dern,Women's Strawweight,https://www.ufc.com/athlete/mackenzie-dern,2025-07-23T14:28:55.484105,False
8,Amanda Ribas,Women's Strawweight,https://www.ufc.com/athlete/amanda-ribas,2025-07-23T14:28:55.484129,False
9,Iasmin Lucindo,Women's Strawweight,https://www.ufc.com/athlete/iasmin-lucindo,2025-07-23T14:28:55.484149,False
10,Gillian Robertson,Women's Strawweight,https://www.ufc.com/athlete/gillian-robertson,2025-07-23T14:28:55.484173,False
11,Tabatha Ricci,Women's Strawweight,https://www.ufc.com/athlete/tabatha-ricci,2025-07-23T14:28:55.484195,False
12,Loopy Godinez,Women's Strawweight,https://www.ufc.com/athlete/loopy-godinez,2025-07-23T14:28:55.484218,False
13,Angela Hill,Women's Strawweight,https://www.ufc.com/athlete/angela-hill,2025-07-23T14:28:55.484237,False
14,Tecia Pennington,Women's Strawweight,https://www.ufc.com/athlete/tecia-pennington,2025-07-23T14:28:55.484259,False
15,Loma Lookboonmee,Women's Strawweight,https://www.ufc.com/athlete/loma-lookboonmee,2025-07-23T14:28:55.484281,False
16,Denise Gomes,Women's Strawweight,https://www.ufc.com/athlete/denise-gomes,2025-07-23T14:28:55.484303,False
1,Alexandre Pantoja,Flyweight,https://www.ufc.com/athlete/alexandre-pantoja,2025-07-23T14:28:55.484413,True
2,Natalia Silva,Flyweight,https://www.ufc.com/athlete/natalia-silva,2025-07-23T14:28:55.484470,False
3,Manon Fiorot,Flyweight,https://www.ufc.com/athlete/manon-fiorot,2025-07-23T14:28:55.484493,False
4,Alexa Grasso,Flyweight,https://www.ufc.com/athlete/alexa-grasso,2025-07-23T14:28:55.484511,False
5,Erin Blanchfield,Flyweight,https://www.ufc.com/athlete/erin-blanchfield,2025-07-23T14:28:55.484528,False
6,Jasmine Jasudavicius,Flyweight,https://www.ufc.com/athlete/jasmine-jasudavicius,2025-07-23T14:28:55.484545,False
7,Maycee Barber,Flyweight,https://www.ufc.com/athlete/maycee-barber,2025-07-23T14:28:55.484562,False
8,Rose Namajunas,Flyweight,https://www.ufc.com/athlete/rose-namajunas,2025-07-23T14:28:55.484579,False
9,Tracy Cortez,Flyweight,https://www.ufc.com/athlete/tracy-cortez,2025-07-23T14:28:55.484595,False
10,Jéssica Andrade,Flyweight,https://www.ufc.com/athlete/jessica-andrade,2025-07-23T14:28:55.484616,False
11,Miranda Maverick,Flyweight,https://www.ufc.com/athlete/miranda-maverick,2025-07-23T14:28:55.484635,False
12,Karine Silva,Flyweight,https://www.ufc.com/athlete/karine-silva,2025-07-23T14:28:55.484652,False
13,Casey O'Neill,Flyweight,https://www.ufc.com/athlete/casey-oneill,2025-07-23T14:28:55.484669,False
14,Wang Cong,Flyweight,https://www.ufc.com/athlete/wang-cong,2025-07-23T14:28:55.484687,False
15,JJ Aldrich,Flyweight,https://www.ufc.com/athlete/jj-aldrich,2025-07-23T14:28:55.484983,False
16,Eduarda Moura,Flyweight,https://www.ufc.com/athlete/eduarda-moura,2025-07-23T14:28:55.485010,False
1,Merab Dvalishvili,Bantamweight,https://www.ufc.com/athlete/merab-dvalishvili,2025-07-23T14:28:55.485129,True
2,Julianna Peña,Bantamweight,https://www.ufc.com/athlete/julianna-pena,2025-07-23T14:28:55.485204,False
3,Raquel Pennington,Bantamweight,https://www.ufc.com/athlete/raquel-pennington,2025-07-23T14:28:55.485240,False
4,Ketlen Vieira,Bantamweight,https://www.ufc.com/athlete/ketlen-vieira,2025-07-23T14:28:55.485268,False
5,Norma Dumont,Bantamweight,https://www.ufc.com/athlete/norma-dumont,2025-07-23T14:28:55.485290,False
6,Macy Chiasson,Bantamweight,https://www.ufc.com/athlete/macy-chiasson,2025-07-23T14:28:55.485312,False
7,Irene Aldana,Bantamweight,https://www.ufc.com/athlete/irene-aldana,2025-07-23T14:28:55.485332,False
8,Ailin Perez,Bantamweight,https://www.ufc.com/athlete/ailin-perez,2025-07-23T14:28:55.485362,False
9,Mayra Bueno Silva,Bantamweight,https://www.ufc.com/athlete/mayra-bueno-silva,2025-07-23T14:28:55.485388,False
10,Yana Santos,Bantamweight,https://www.ufc.com/athlete/yana-santos,2025-07-23T14:28:55.485410,False
11,Karol Rosa,Bantamweight,https://www.ufc.com/athlete/karol-rosa,2025-07-23T14:28:55.485430,False
12,Jacqueline Cavalcanti,Bantamweight,https://www.ufc.com/athlete/jacqueline-cavalcanti,2025-07-23T14:28:55.485448,False
13,Nora Cornolle,Bantamweight,https://www.ufc.com/athlete/nora-cornolle,2025-07-23T14:28:55.485466,False
14,Miesha Tate,Bantamweight,https://www.ufc.com/athlete/miesha-tate,2025-07-23T14:28:55.485484,False
15,Joselyne Edwards,Bantamweight,https://www.ufc.com/athlete/joselyne-edwards,2025-07-23T14:28:55.485502,False
16,Daria Zhelezniakova,Bantamweight,https://www.ufc.com/athlete/daria-zheleznyakova,2025-07-23T14:28:55.485519,False
