rank,name,division,url,record,scraped_at
8,Joaquin Buckley,Welterweight,https://www.ufc.com/athlete/joaquin-buckley,,2025-07-23T12:43:27.513745
9,Colby Covington,Welterweight,https://www.ufc.com/athlete/colby-covington,,2025-07-23T12:43:27.513767
10,Geoff Neal,Welterweight,https://www.ufc.com/athlete/geoff-neal,,2025-07-23T12:43:27.513790
11,Gilbert Burns,Welterweight,https://www.ufc.com/athlete/gilbert-burns,,2025-07-23T12:43:27.513813
12,Carlos Prates,Welterweight,https://www.ufc.com/athlete/carlos-prates,,2025-07-23T12:43:27.513835
13,Gabriel Bonfim,Welterweight,https://www.ufc.com/athlete/gabriel-bonfim,,2025-07-23T12:43:27.513857
14,Daniel Rodriguez,Welterweight,https://www.ufc.com/athlete/daniel-rodriguez,,2025-07-23T12:43:27.513879
15,Michael Page,Welterweight,https://www.ufc.com/athlete/michael-page,,2025-07-23T12:43:27.513902
1,Nassourdine Imavov,Middleweight,https://www.ufc.com/athlete/nassourdine-imavov,,2025-07-23T12:43:27.514038
2,Sean Strickland,Middleweight,https://www.ufc.com/athlete/sean-strickland,,2025-07-23T12:43:27.514065
3,Khamzat Chimaev,Middleweight,https://www.ufc.com/athlete/khamzat-chimaev,,2025-07-23T12:43:27.514090
4,Israel Adesanya,Middleweight,https://www.ufc.com/athlete/israel-adesanya,,2025-07-23T12:43:27.514114
5,Robert Whittaker,Middleweight,https://www.ufc.com/athlete/robert-whittaker,,2025-07-23T12:43:27.514136
6,Caio Borralho,Middleweight,https://www.ufc.com/athlete/caio-borralho,,2025-07-23T12:43:27.514159
7,Jared Cannonier,Middleweight,https://www.ufc.com/athlete/jared-cannonier,,2025-07-23T12:43:27.514183
8,Roman Dolidze,Middleweight,https://www.ufc.com/athlete/roman-dolidze,,2025-07-23T12:43:27.514206
9,Anthony Hernandez,Middleweight,https://www.ufc.com/athlete/anthony-hernandez,,2025-07-23T12:43:27.514229
10,Brendan Allen,Middleweight,https://www.ufc.com/athlete/brendan-allen,,2025-07-23T12:43:27.514253
11,Paulo Costa,Middleweight,https://www.ufc.com/athlete/paulo-costa,,2025-07-23T12:43:27.514277
11,Marvin Vettori,Middleweight,https://www.ufc.com/athlete/marvin-vettori,,2025-07-23T12:43:27.514299
