name,division,record,url,height,weight,reach,stance,dob,hometown,team,scraped_at
Youssef Zalal,Featherweight Division17-5-1 (W-L-D),17-5-1,https://www.ufc.com/athlete/youssef-zalal,,,,,,,,2025-07-23T14:41:11.327003
Jean Silva,Featherweight Division16-2-0 (W-L-D),16-2-0,https://www.ufc.com/athlete/jean-silva,,,,,,,,2025-07-23T14:41:12.472512
Patricio Pitbull,Featherweight Division37-8-0 (W-L-D),37-8-0,https://www.ufc.com/athlete/patricio-pitbull-freire,,,,,,,,2025-07-23T14:41:13.554378
Steve Garcia,Featherweight Division18-5-0 (W-L-D),18-5-0,https://www.ufc.com/athlete/steve-garcia,,,,,,,,2025-07-23T14:41:15.130692
David Onama,Featherweight Division14-2-0 (W-L-D),14-2-0,https://www.ufc.com/athlete/david-onama,,,,,,,,2025-07-23T14:41:16.268823
Dan Ige,Featherweight Division19-10-0 (W-L-D),19-10-0,https://www.ufc.com/athlete/dan-ige,,,,,,,,2025-07-23T14:41:17.400927
Giga Chikadze,Featherweight Division15-5-0 (W-L-D),15-5-0,https://www.ufc.com/athlete/giga-chikadze,,,,,,,,2025-07-23T14:41:18.519015
Justin Gaethje,Lightweight Division27-5-0 (W-L-D),27-5-0,https://www.ufc.com/athlete/justin-gaethje,,,,,,,,2025-07-23T14:41:19.657879
Dan Hooker,Lightweight Division24-12-0 (W-L-D),24-12-0,https://www.ufc.com/athlete/dan-hooker,,,,,,,,2025-07-23T14:41:20.756747
Mateusz Gamrot,Lightweight Division25-3-0 (W-L-D),25-3-0,https://www.ufc.com/athlete/mateusz-gamrot,,,,,,,,2025-07-23T14:41:21.858549
Beneil Dariush,Lightweight Division23-6-1 (W-L-D),23-6-1,https://www.ufc.com/athlete/beneil-dariush,,,,,,,,2025-07-23T14:41:22.980586
Paddy Pimblett,Lightweight Division23-3-0 (W-L-D),23-3-0,https://www.ufc.com/athlete/paddy-pimblett,,,,,,,,2025-07-23T14:41:24.060169
Rafael Fiziev,Lightweight Division13-4-0 (W-L-D),13-4-0,https://www.ufc.com/athlete/rafael-fiziev,,,,,,,,2025-07-23T14:41:25.175262
Renato Moicano,Lightweight Division20-7-1 (W-L-D),20-7-1,https://www.ufc.com/athlete/renato-moicano,,,,,,,,2025-07-23T14:41:26.295661
Michael Chandler,Lightweight Division23-10-0 (W-L-D),23-10-0,https://www.ufc.com/athlete/michael-chandler,,,,,,,,2025-07-23T14:41:27.395684
Benoît Saint Denis,Lightweight Division14-3-0 (W-L-D),14-3-0,https://www.ufc.com/athlete/benoit-saint-denis,,,,,,,,2025-07-23T14:41:28.493711
Grant Dawson,Lightweight Division23-2-1 (W-L-D),23-2-1,https://www.ufc.com/athlete/grant-dawson,,,,,,,,2025-07-23T14:41:29.614632
Joel Álvarez,Lightweight Division22-3-0 (W-L-D),22-3-0,https://www.ufc.com/athlete/joel-alvarez,,,,,,,,2025-07-23T14:41:30.713367
Sean Brady,Welterweight Division18-1-0 (W-L-D),18-1-0,https://www.ufc.com/athlete/sean-brady,,,,,,,,2025-07-23T14:41:31.865872
Shavkat Rakhmonov,Welterweight Division19-0-0 (W-L-D),19-0-0,https://www.ufc.com/athlete/shavkat-rakhmonov,,,,,,,,2025-07-23T14:41:33.031812
Leon Edwards,Welterweight Division22-5-0 (W-L-D),22-5-0,https://www.ufc.com/athlete/leon-edwards,,,,,,,,2025-07-23T14:41:34.149835
Kamaru Usman,Welterweight Division21-4-0 (W-L-D),21-4-0,https://www.ufc.com/athlete/kamaru-usman,,,,,,,,2025-07-23T14:41:35.266942
Ian Machado Garry,Welterweight Division16-1-0 (W-L-D),16-1-0,https://www.ufc.com/athlete/ian-garry,,,,,,,,2025-07-23T14:41:36.380730
Michael Morales,Welterweight Division18-0-0 (W-L-D),18-0-0,https://www.ufc.com/athlete/michael-morales,,,,,,,,2025-07-23T14:41:37.598093
Joaquin Buckley,Welterweight Division21-7-0 (W-L-D),21-7-0,https://www.ufc.com/athlete/joaquin-buckley,,,,,,,,2025-07-23T14:41:38.721089
Colby Covington,Welterweight Division17-5-0 (W-L-D),17-5-0,https://www.ufc.com/athlete/colby-covington,,,,,,,,2025-07-23T14:41:39.831930
Geoff Neal,Welterweight Division16-6-0 (W-L-D),16-6-0,https://www.ufc.com/athlete/geoff-neal,,,,,,,,2025-07-23T14:41:40.924225
Gilbert Burns,Welterweight Division22-9-0 (W-L-D),22-9-0,https://www.ufc.com/athlete/gilbert-burns,,,,,,,,2025-07-23T14:41:42.020744
Carlos Prates,Welterweight Division21-7-0 (W-L-D),21-7-0,https://www.ufc.com/athlete/carlos-prates,,,,,,,,2025-07-23T14:41:43.209384
Gabriel Bonfim,Welterweight Division18-1-0 (W-L-D),18-1-0,https://www.ufc.com/athlete/gabriel-bonfim,,,,,,,,2025-07-23T14:41:44.337754
Daniel Rodriguez,Welterweight Division20-5-0 (W-L-D),20-5-0,https://www.ufc.com/athlete/daniel-rodriguez,,,,,,,,2025-07-23T14:41:45.520610
Michael Page,Welterweight Division23-3-0 (W-L-D),23-3-0,https://www.ufc.com/athlete/michael-page,,,,,,,,2025-07-23T14:41:46.627211
Nassourdine Imavov,Middleweight Division16-4-0 (W-L-D),16-4-0,https://www.ufc.com/athlete/nassourdine-imavov,,,,,,,,2025-07-23T14:41:47.720495
Sean Strickland,Middleweight Division29-7-0 (W-L-D),29-7-0,https://www.ufc.com/athlete/sean-strickland,,,,,,,,2025-07-23T14:41:48.823291
Israel Adesanya,Middleweight Division24-5-0 (W-L-D),24-5-0,https://www.ufc.com/athlete/israel-adesanya,,,,,,,,2025-07-23T14:41:49.938313
