name,date,venue,location,status,event_type,url,scraped_at
631,UFC Fight Night: Cannonier vs. Strickland,"Dec 17, 2022",[131],completed,other,,2025-07-29T14:58:05.898655
630,UFC 282: Błachowicz vs. Ankalaev,"Dec 10, 2022",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.898706
629,UFC on ESPN: Thompson vs. Holland,"Dec 3, 2022",Kia Center,completed,other,,2025-07-29T14:58:05.898757
628,UFC Fight Night: Nzechukwu vs. Cuțelaba,"Nov 19, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.898809
627,UFC 281: Adesanya vs. Pereira,"Nov 12, 2022",Madison Square Garden,completed,other,,2025-07-29T14:58:05.898860
626,UFC Fight Night: Rodriguez vs. Lemos,"Nov 5, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.898910
625,UFC Fight Night: Kattar vs. Allen,"Oct 29, 2022",[137],completed,other,,2025-07-29T14:58:05.898949
624,UFC 280: Oliveira vs. Makhachev,"Oct 22, 2022",Etihad Arena,completed,other,,2025-07-29T14:58:05.899000
623,UFC Fight Night: Grasso vs. Araújo,"Oct 15, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.899050
622,UFC Fight Night: Dern vs. Yan,"Oct 1, 2022",[140],completed,other,,2025-07-29T14:58:05.899088
621,UFC Fight Night: Sandhagen vs. Song,"Sep 17, 2022",[141],completed,other,,2025-07-29T14:58:05.899129
620,UFC 279: Diaz vs. Ferguson,"Sep 10, 2022",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.899174
619,UFC Fight Night: Gane vs. Tuivasa,"Sep 3, 2022",Accor Arena,completed,other,,2025-07-29T14:58:05.899224
618,UFC 278: Usman vs. Edwards 2,"Aug 20, 2022",Vivint Arena,completed,other,,2025-07-29T14:58:05.899275
617,UFC on ESPN: Vera vs. Cruz,"Aug 13, 2022",Pechanga Arena,completed,other,,2025-07-29T14:58:05.899324
616,UFC on ESPN: Santos vs. Hill,"Aug 6, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.899371
615,UFC 277: Peña vs. Nunes 2,"Jul 30, 2022",American Airlines Center,completed,other,,2025-07-29T14:58:05.899426
614,UFC Fight Night: Blaydes vs. Aspinall,"Jul 23, 2022",The O2 Arena,completed,other,,2025-07-29T14:58:05.899478
613,UFC on ABC: Ortega vs. Rodríguez,"Jul 16, 2022",UBS Arena,completed,other,,2025-07-29T14:58:05.899528
612,UFC on ESPN: dos Anjos vs. Fiziev,"Jul 9, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.899577
611,UFC 276: Adesanya vs. Cannonier,"Jul 2, 2022",T-Mobile Arena,completed,other,,2025-07-29T14:58:05.899625
610,UFC on ESPN: Tsarukyan vs. Gamrot,"Jun 25, 2022",UFC Apex,completed,other,,2025-07-29T14:58:05.899670
609,UFC on ESPN: Kattar vs. Emmett,"Jun 18, 2022",Moody Center,completed,other,,2025-07-29T14:58:05.899719
